epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
189,0.919416308403,0.898615265886,-1.20355382562,5e-07,0.881254335244,0.862066030502,0.364446014166
190,0.918421556552,0.897167940934,-1.17019701004,5e-07,0.881242632866,0.862061301867,0.364393462737
191,0.913847481211,0.893272856871,-1.08251816034,5e-07,0.881232957045,0.862038036187,0.364446659883
192,0.917424971859,0.895837252339,-1.14654326439,5e-07,0.881229658922,0.862037519614,0.364461660385
193,0.915257766843,0.895611350735,-1.1279410099,5e-07,0.88122912248,0.862037956715,0.364478667577
194,0.918659652273,0.897654285034,-1.18304313223,5e-07,0.88122634093,0.86201941967,0.364451617002
195,0.916971519589,0.895826483766,-1.13574798405,5e-07,0.881221532822,0.862032830715,0.364528119564
196,0.915923307339,0.895057459672,-1.11563965182,5e-07,0.881241103013,0.862030307452,0.364474684
197,0.91816851,0.897015040119,-1.16952415804,5e-07,0.881216684977,0.862031539281,0.364478975534
198,0.920179809133,0.898909841975,-1.20498301586,5e-07,0.881201942762,0.862027605375,0.364508897066
199,0.914271230499,0.893271694581,-1.09255424142,5e-07,0.881216943264,0.862057248751,0.364410877228
